wweia_food_category,wweia_food_category_description,matched_wweia_food_category_from_api,fdc_id,food_code,main_food_description,main_food_description_zh,data_type,additional_food_description,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
1002,"Milk, whole","Milk, whole",2705385,11111000,"Milk, whole",牛奶，全脂/完整,Survey (FNDDS),leche fresca,3.27,3.2,4.63,61.0,0.0,88.1,0.0,0.0,4.81,0.0,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,1.9,31.0,32.0,7.0,0.0,0.05,1.1,0.0,0.0,0.0,0.0,0.056,0.138,0.105,0.061,0.0,0.54,17.8,0.3,0.0,0.0,0.0,0.0,0.0,12.0,1.86,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.694,0.115,0.013,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.688,0.108
1002,"Milk, whole","Milk, whole",2705399,11211050,"Milk, evaporated, whole",牛奶，淡炼乳，全脂/完整,Survey (FNDDS),,6.81,7.56,10.0,134.0,0.0,74.0,0.0,0.0,10.0,0.0,261.0,0.19,24.0,203.0,303.0,106.0,0.77,0.016,2.3,64.0,65.0,12.0,0.0,0.14,2.0,0.0,0.0,0.0,1.9,0.047,0.316,0.194,0.05,8.0,0.16,31.8,0.5,0.0,8.0,8.0,0.0,0.0,29.0,4.59,0.195,0.134,0.054,0.11,0.161,0.733,2.03,0.921,2.1,0.167,0.078,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,2.34,0.245
1002,"Milk, whole","Milk, whole",2705397,11121100,"Milk, dry, reconstituted, whole",牛奶，干粉，复原，全脂/完整,Survey (FNDDS),Nido Fortificada,4.01,4.08,5.86,76.0,0.0,85.0,0.0,0.0,5.86,0.0,142.0,0.07,14.0,118.0,203.0,60.0,0.52,0.021,2.5,39.0,39.0,8.0,0.0,0.09,1.6,0.0,0.0,0.0,1.3,0.043,0.184,0.099,0.046,6.0,0.5,18.2,0.3,0.0,6.0,6.0,0.0,0.0,15.0,2.55,0.132,0.037,0.041,0.091,0.094,0.43,1.15,0.435,0.945,0.07,0.031,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,1.21,0.101
1002,"Milk, whole","Milk, whole",2705392,11114350,"Milk, lactose free, whole",牛奶，无乳糖，全脂/完整,Survey (FNDDS),,3.27,3.2,4.63,61.0,0.0,88.1,0.0,0.0,4.81,0.0,123.0,0.0,12.0,101.0,150.0,38.0,0.42,0.001,1.9,31.0,32.0,7.0,0.0,0.05,1.1,0.0,0.0,0.0,0.0,0.056,0.138,0.105,0.061,0.0,0.54,17.8,0.3,0.0,0.0,0.0,0.0,0.0,12.0,1.86,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.694,0.115,0.013,0.004,0.0,0.047,0.0,0.004,0.001,0.0,0.002,0.688,0.108
1002,"Milk, whole","Milk, whole",2705395,11116000,Goat milk,山羊奶,Survey (FNDDS),,3.56,4.14,4.45,69.0,0.0,87.0,0.0,0.0,4.45,0.0,134.0,0.05,14.0,111.0,204.0,50.0,0.3,0.046,1.4,56.0,57.0,7.0,0.0,0.07,1.3,0.0,0.0,0.0,1.3,0.048,0.138,0.277,0.046,1.0,0.07,16.0,0.3,0.0,1.0,1.0,0.0,0.0,11.0,2.67,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,1.11,0.149
1002,"Milk, whole","Milk, whole",2705398,11210050,"Milk, evaporated, NS as to fat content",牛奶，淡炼乳，未说明 脂肪含量,Survey (FNDDS),,6.81,7.56,10.0,134.0,0.0,74.0,0.0,0.0,10.0,0.0,261.0,0.19,24.0,203.0,303.0,106.0,0.77,0.016,2.3,64.0,65.0,12.0,0.0,0.14,2.0,0.0,0.0,0.0,1.9,0.047,0.316,0.194,0.05,8.0,0.16,31.8,0.5,0.0,8.0,8.0,0.0,0.0,29.0,4.59,0.195,0.134,0.054,0.11,0.161,0.733,2.03,0.921,2.1,0.167,0.078,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,2.34,0.245
1002,"Milk, whole","Milk, whole",2705393,11115300,Buttermilk,酪乳,Survey (FNDDS),,3.46,1.08,4.81,43.0,0.0,89.8,0.0,0.0,5.36,0.0,120.0,0.01,11.0,92.0,158.0,92.0,0.43,0.001,2.0,36.0,36.0,0.0,0.0,0.05,0.5,0.0,0.0,0.0,1.0,0.048,0.196,0.128,0.039,5.0,0.22,17.7,0.1,0.0,5.0,5.0,0.0,0.0,5.0,0.552,0.029,0.017,0.01,0.022,0.028,0.089,0.258,0.085,0.221,0.022,0.013,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.199,0.033
1004,"Milk, reduced fat","Milk, reduced fat",2705386,11112110,"Milk, reduced fat (2%)",牛奶，减脂 （2%）,Survey (FNDDS),,3.36,1.9,4.9,50.0,0.0,89.1,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,1.8,83.0,83.0,3.0,0.0,0.03,1.1,0.0,0.0,0.0,0.2,0.059,0.137,0.112,0.061,2.0,0.55,18.2,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058
1004,"Milk, reduced fat","Milk, reduced fat",2705400,11211400,"Milk, evaporated, reduced fat (2%)",牛奶，淡炼乳，减脂 （2%）,Survey (FNDDS),,7.42,1.96,11.2,92.0,0.0,78.0,0.0,0.0,11.2,0.0,285.0,0.28,27.0,192.0,326.0,113.0,0.88,0.016,2.5,130.0,131.0,3.0,0.0,0.05,2.0,0.0,0.0,0.0,1.2,0.044,0.304,0.171,0.054,9.0,0.24,25.1,0.2,0.0,9.0,9.0,0.0,0.0,8.0,1.21,0.062,0.038,0.021,0.047,0.053,0.196,0.516,0.237,0.498,0.044,0.028,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.569,0.071
1004,"Milk, reduced fat","Milk, reduced fat",2705391,11114330,"Milk, lactose free, reduced fat (2%)",牛奶，无乳糖，减脂 （2%）,Survey (FNDDS),"lactose free milk, NS as to fat content",3.36,1.9,4.9,50.0,0.0,89.1,0.0,0.0,4.89,0.0,126.0,0.0,12.0,103.0,159.0,39.0,0.43,0.001,1.8,83.0,83.0,3.0,0.0,0.03,1.1,0.0,0.0,0.0,0.2,0.059,0.137,0.112,0.061,2.0,0.55,18.2,0.2,0.0,2.0,2.0,0.0,0.0,8.0,1.11,0.041,0.032,0.021,0.049,0.058,0.181,0.512,0.184,0.41,0.061,0.007,0.003,0.0,0.029,0.0,0.002,0.0,0.0,0.001,0.4,0.058
