food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
milk,3.27,3.2,4.63,61,0,88.1,0,0,4.81,0,123,0,12,101,150,38,0.42,0.001,1.9,31,32,7,0,0.05,1.1,0,0,0,0,0.056,0.138,0.105,0.061,0,0.54,17.8,0.3,0,0,0,0,0,12,1.86,0.067,0.054,0.034,0.084,0.097,0.303,0.857,0.309,0.694,0.115,0.013,0.004,0,0.047,0,0.004,0.001,0,0.002,0.688,0.108
goat milk,3.56,4.14,4.45,69,0,87,0,0,4.45,0,134,0.05,14,111,204,50,0.3,0.046,1.4,56,57,7,0,0.07,1.3,0,0,0,1.3,0.048,0.138,0.277,0.046,1,0.07,16,0.3,0,1,1,0,0,11,2.67,0.128,0.094,0.096,0.26,0.124,0.325,0.911,0.441,0.977,0.109,0.04,0,0,0.082,0,0,0,0,0,1.11,0.149
buttermilk,3.46,1.08,4.81,43,0,89.8,0,0,5.36,0,120,0.01,11,92,158,92,0.43,0.001,2,36,36,0,0,0.05,0.5,0,0,0,1,0.048,0.196,0.128,0.039,5,0.22,17.7,0.1,0,5,5,0,0,5,0.552,0.029,0.017,0.01,0.022,0.028,0.089,0.258,0.085,0.221,0.022,0.013,0,0,0.02,0,0,0,0,0,0.199,0.033
dry milk,3.2,0.07,4.6,32,0,91.3,0,0,4.6,0,114,0.03,11,86,159,51,0.37,0.013,2.4,58,58,0,0,0,1,0,0,0,0.6,0.037,0.137,0.084,0.032,4,0.36,15,0,0,4,4,0,0,2,0.044,0.002,0.001,0.001,0.002,0.001,0.007,0.021,0.008,0.015,0.002,0.001,0,0,0.002,0,0,0,0,0,0.018,0.003
strawberry milk,3.03,2.97,11.8,86,0,81.5,0,0,11.7,0,114,0.03,11,94,139,38,0.39,0.001,1.8,29,30,6,0,0.05,1,0,0,0,0,0.052,0.136,0.103,0.057,0,0.5,16.5,0.3,0,0,0,0,0,11,1.72,0.062,0.05,0.031,0.078,0.09,0.28,0.792,0.286,0.641,0.106,0.012,0.004,0,0.043,0,0.004,0.001,0,0.002,0.636,0.1
chocolate milk,3.17,3.39,10.3,83,0,82.3,1,23,9.54,0.8,112,0.24,13,101,167,60,0.41,0.065,1.9,26,27,7,0,0.07,1.3,0,0,0,0.9,0.037,0.162,0.125,0.04,5,0.33,17,0.3,0,5,5,0,0,12,2.1,0.101,0.06,0.035,0.078,0.088,0.315,0.889,0.466,0.872,0.078,0.046,0,0,0.071,0,0,0,0,0,0.99,0.124
milk shake,3.37,6.52,19.6,148,0,69.6,0,0,13.6,0.9,115,0.46,13,98,166,81,0.57,0.103,3.2,91,91,0,0,0.25,0,0,0,0,0,0.026,0.66,0.213,0.06,0,0.22,27.3,0.4,0,0,0,0,0,23,3.96,0.198,0.152,0.066,0.154,0.174,0.593,1.72,0.795,1.61,0.261,0.029,0.007,0,0.116,0.012,0.004,0,0,0.003,1.78,0.316
"chocolate mjilk shake, bottled, ",3.7,6.66,20.4,150,0,68.3,5,41,13.4,1.6,115,0.73,23,111,193,80,0.7,0.177,3.4,89,89,0,0,0.25,0,0,0,1,0,0.027,0.652,0.252,0.061,1,0.22,27,0.4,0,1,1,0,0,23,4.04,0.194,0.149,0.065,0.151,0.171,0.582,1.76,0.864,1.67,0.265,0.028,0.007,0,0.114,0.012,0.004,0,0,0.003,1.84,0.318
ice cream soda,0.92,2.9,14,85,0,81.8,0,0,13.4,0.2,37,0.06,4,28,53,31,0.23,0.011,0.5,31,31,5,0,0.08,0.1,0,0,0,0.2,0.011,0.063,0.031,0.013,1,0.1,7.1,0.1,0,1,1,0,0,12,1.79,0.095,0.055,0.032,0.074,0.082,0.297,0.805,0.346,0.727,0.072,0.046,0,0,0.054,0,0,0.001,0,0,0.781,0.119
eggnog,4.55,4.19,8.05,88,0,82.5,0,0,8.05,0,130,0.2,19,109,165,54,0.46,0.013,4.2,58,59,7,0,0.21,1.2,0,0,54,1.5,0.034,0.19,0.105,0.05,1,0.45,52.2,0.3,0,1,1,0,0,59,2.59,0.129,0.076,0.044,0.1,0.112,0.401,1.13,0.511,1.14,0.132,0.059,0.003,0,0.101,0,0,0,0,0,1.3,0.198
chocolate ice cream soda,1,2.9,15.2,87,0,80.5,1,16,14.5,0.3,32,0.28,8,28,66,30,0.2,0.041,0.7,31,31,5,0,0.08,0.1,0,0,0,0.2,0.011,0.051,0.059,0.014,4,0.08,6.1,0.1,0,4,4,0,0,9,1.79,0.089,0.053,0.032,0.068,0.076,0.282,0.805,0.384,0.782,0.066,0.039,0,0,0.063,0,0,0,0,0,0.845,0.108
cheese,23.04655172,23.13241379,5.726551724,323.9655172,0,43.7637931,0,0,2.382413793,0.087931034,715.5517241,0.462931034,30.53448276,533.8793103,165.3103448,838.6724138,3.092068966,0.04987931,17.58793103,191.9655172,195.5172414,40.79310345,0.25862069,0.343965517,0.95,1.465517241,0.017241379,5.25862069,0.087931034,0.044482759,0.365655172,0.287189655,0.099517241,16.5862069,1.275689655,20.24655172,2.327586207,0.24137931,16.34482759,16.75862069,0,0,72.79310345,13.57931034,0.635051724,0.346517241,0.247258621,0.547258621,0.583465517,2.204482759,6.231206897,2.332103448,5.489137931,0.953517241,0.234724138,0.011724138,0.000310345,0.545137931,0.000672414,0.030396552,0.002327586,0.000362069,0.004258621,5.95362069,1.201068966
fresh cheese,10.22875,4.225625,5.855625,102.4375,0,78.3125,0,0,4.11875,0.1125,122.625,0.106875,10.375,153.1875,117.75,307.375,0.6375,0.0233125,10.71875,51.8125,55.5,37.8125,13.875,0.109375,0.0375,1.5,0,10,1.5125,0.029625,0.1824375,0.124125,0.04975,9.625,0.523125,15.29375,0.59375,0,9.625,9.625,0,0,17.3125,2.53,0.098125,0.05725,0.040375,0.0956875,0.124,0.4088125,1.181625,0.4105,0.8983125,0.111875,0.02275,0.00375,0.0001875,0.072875,0.000375,0.0040625,0.001,0.00025,0.0015625,0.95425,0.1590625
yogurt,6.67,2.87,10.2,94,0,79.4,0,0,8.05,0.1,136,0.07,13,126,179,49,0.62,0.018,6.4,25,25,1,0,0.03,0.6,0,0,0,1,0.048,0.22,0.165,0.044,8,0.62,14.8,0.1,0,8,8,0,0,11,1.63,0.02,0.04,0.052,0.151,0.088,0.279,0.722,0.234,0.57,0.066,0.017,0,0.002,0.039,0,0.019,0,0.001,0,0.665,0.254
greek Yogurt,9.157857143,1.880714286,8.884285714,88.92857143,0,79.41428571,0,0,6.88,0.142857143,101.9285714,0.112857143,11.64285714,125.9285714,136.1428571,35.85714286,0.505,0.022928571,9.25,12.78571429,12.78571429,1.142857143,0,0.066428571,0.628571429,0,0,1.714285714,0.357142857,0.031428571,0.252142857,0.209,0.055714286,6.571428571,0.642857143,14.57857143,0.135714286,0,6.571428571,6.571428571,0,0,8.357142857,0.915285714,0.017857143,0.022214286,0.026357143,0.075071429,0.045714286,0.148571429,0.406642857,0.150857143,0.431,0.085642857,0.020428571,0,0.000857143,0.024071429,0,0.010571429,0,0.000714286,0,0.478428571,0.174285714
scrambled egg,11.6,15,0.91,185,0,71.4,0,0,0.2,0,46,1.56,10,172,124,248,1.16,0,29,191,193,11,0,1.83,2.4,12,0,469,0,0.058,0.371,0,0.093,50,0.76,250,5,0,50,50,0,0,388,4.48,0.04,0.028,0.017,0.038,0.045,0.173,2.98,1.06,5.08,2.82,0.192,0.002,0,0.253,0,0.027,0,0,0.001,5.41,3.34
benedict egg,13.8,22.1,8.48,288,0,53.5,0,0,1.17,0.6,58,1.56,15,185,325,468,1.19,0.047,30.4,228,232,49,4,1.14,1.4,8,0,249,1.4,0.264,0.241,3.2,0.124,41,0.49,168,3.5,8,33,46,0,0,271,10.3,0.349,0.246,0.145,0.332,0.391,1.26,5.28,1.98,5.62,1.75,0.122,0.072,0.01,0.342,0.003,0.036,0.005,0.002,0.008,6.15,2.04
boiled egg,12.4,9.96,0.96,143,0,75.8,0,0,0.2,0,48,1.67,11,184,132,129,1.24,0,31.1,179,180,0,0,1.05,2.5,13,0,503,0,0.062,0.398,0,0.06,53,0.82,268,0.3,0,53,53,0,0,411,3.2,0,0,0,0,0,0.032,2.32,0.813,3.35,1.46,0.011,0,0,0.238,0,0,0,0,0,3.63,1.82
fried rice,3.385606061,3.164166667,20.96507576,126.8636364,0,71.37878788,0,0,1.177424242,1.292424242,22.75,0.898484848,20.60606061,69.56060606,105.7045455,253.7045455,0.580757576,0.087424242,5.85530303,6.462121212,41.59848485,355.3181818,129.0909091,0.480909091,0.051515152,2.727272727,138.9621212,127.0530303,4.362878788,0.154772727,0.059462121,1.587651515,0.104174242,32.99242424,0.073030303,10.06515152,7.503787879,20.68181818,12.32575758,47.65151515,0,0,6.007575758,0.917878788,0.012128788,0.007787879,0.016575758,0.02219697,0.087159091,0.082840909,0.49375,0.173068182,1.174492424,0.703121212,0.07794697,0.00194697,0.001689394,0.035462121,3.03E-05,0.011742424,0.000909091,6.82E-05,0.000219697,1.223863636,0.789606061
cheese Macaroni,6.715,7.255625,18.11875,164.625,0,66.64375,0,0,2.305625,0.9125,69.25,0.84875,16.4375,108.1875,92.3125,251.125,0.808125,0.0801875,17.41875,55.5,57.4375,22.625,1.375,0.463125,0.28125,0.1875,39.125,17.0625,0.24375,0.159875,0.158125,1.5045,0.1085625,33.1875,0.365,16.68125,2.29375,26.6875,6.3125,51.625,0,0,23.5625,2.993125,0.0803125,0.059625,0.0364375,0.085875,0.101125,0.3873125,1.531,0.618375,1.911125,0.85875,0.0878125,0.0083125,0.005125,0.1041875,0.000625,0.016125,0.0015,0.000875,0.0019375,2.030125,0.96275
turnover,10.3,11.9,27.9,260,0,47.6,0,0,3.9,1.6,218,1.88,22,169,157,536,1.26,0.087,16.6,38,44,73,0,0.76,0.2,0,2380,52,0.4,0.253,0.204,3.28,0.112,58,0.39,15.4,4.3,38,19,84,0,0,19,4.8,0.076,0.063,0.042,0.1,0.116,0.458,2.53,1.27,3.99,1.51,0.132,0.016,0,0.206,0,0.048,0.002,0,0.003,4.2,1.66
bread stuffing,3.14,8.51,21.7,177,0,64.9,0,0,2.35,0.9,30,1.09,12,41,72,471,0.26,0.074,13.6,72,77,57,0,0.95,0.4,0,0,18,0,0.136,0.107,1.48,0.04,33,0.02,5.1,9,16,17,45,0,0,0,1.66,0,0,0,0,0.001,0.01,0.948,0.653,4.02,2.27,0.201,0,0,0.025,0,0.016,0,0,0.001,4.06,2.48
empanada,7.19,16,29.9,291,0,45.3,0,0,2.75,2,47,1.62,18,95,176,446,1.14,0.086,6.6,11,16,51,12,0.35,0,12,258,83,3.5,0.159,0.116,2.41,0.116,38,0.32,19.7,4.7,22,16,53,0,0,13,5.66,0.038,0.02,0.014,0.033,0.046,0.304,3.18,1.88,6.82,1.61,0.08,0.015,0,0.276,0,0.077,0,0,0.001,7.14,1.75
cooked rice,2.67,0.28,28,129,0,68,0,0,0.05,0.4,10,1.19,12,43,35,245,0.49,0.069,7.5,0,0,0,0,0.04,0,0,0,0,0,0.162,0.013,1.47,0.092,58,0,2.1,0,55,3,96,0,0,0,0.077,0,0,0,0,0,0.002,0.069,0.005,0.086,0.062,0.013,0,0,0.001,0,0,0,0,0,0.087,0.076
cooked white rice,2.67,0.28,28,129,0,68,0,0,0.05,0.4,10,1.19,12,43,35,245,0.49,0.069,7.5,0,0,0,0,0.04,0,0,0,0,0,0.162,0.013,1.47,0.092,58,0,2.1,0,55,3,96,0,0,0,0.077,0,0,0,0,0,0.002,0.069,0.005,0.086,0.062,0.013,0,0,0.001,0,0,0,0,0,0.087,0.076
cooked brown rice,2.44,1.11,25.8,123,0,69.7,0,0,0.22,1,5,0.4,39,97,80,201,0.63,0.094,5,0,0,0,0,0.2,0,0,0,0,0,0.088,0.031,2.11,0.052,5,0,7.2,0.2,0,5,5,0,0,0,0.199,0,0,0.001,0.006,0.002,0.006,0.154,0.019,0.349,0.325,0.011,0,0,0.001,0,0.004,0,0,0,0.354,0.336
cooked yellow rice,1.8,0.45,19.1,88,0,77.1,0,0,0.45,0.5,12,0.62,30,42,195,340,0.32,0.075,2.7,0,2,0,0,0.06,0,0,0,0,0,0.081,0.029,0.898,0.141,25,0,2.2,0.2,20,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0.102,0.109,0.001,0,0.001,0,0.001,0,0,0.001,0.11,0.213
cooked wild rice,3.86,3.08,20.6,122,0,71.5,0,0,0.71,1.7,3,0.58,31,79,98,231,1.3,0.117,0.8,0,0,2,0,0.75,0,0,0,62,0,0.05,0.084,1.24,0.13,25,0,9.9,3.2,0,25,25,0,0,0,0.415,0,0,0,0,0,0.001,0.308,0.082,1.18,1.05,0.212,0,0,0.01,0,0.019,0,0,0,1.21,1.26
cooked noodles,4.51,2.06,25,137,0,67.3,0,0,0.4,1.2,12,1.46,21,76,38,236,0.65,0.097,23.8,6,6,1,0,0.17,0.1,0,0,38,0,0.287,0.135,2.06,0.046,83,0.09,25.5,0,77,7,137,0,0,29,0.417,0,0,0,0,0,0.005,0.339,0.073,0.534,0.519,0.028,0.001,0,0.045,0,0,0,0,0,0.578,0.549
cooked rice noodles,1.78,0.2,23.9,107,0,73.4,0,0,0.03,1,4,0.14,3,20,4,250,0.25,0.038,4.5,0,0,0,0,0.03,0,0,0,0,0,0.018,0.004,0.072,0.006,1,0,1.6,0,0,1,1,0,0,0,0.023,0,0,0,0,0,0,0.021,0.002,0.026,0.019,0.004,0,0,0,0,0,0,0,0,0.026,0.023
cooked pasta,5.76,0.92,30.7,157,0,61.8,0,0,0.56,1.8,7,1.27,18,58,44,232,0.51,0.099,26.2,0,0,0,0,0.06,0,0,0,7,0,0.272,0.135,1.68,0.049,73,0,6.4,0,66,7,118,0,0,0,0.175,0,0,0,0,0.006,0.006,0.148,0.014,0.13,0.293,0.024,0,0,0,0,0,0,0,0,0.13,0.324
cooked couscous,3.77,0.16,23.1,111,0,72.2,0,0,0.1,1.4,8,0.38,8,22,58,189,0.26,0.041,27.4,0,0,0,0,0.13,0,0,0,25,0,0.063,0.027,0.978,0.051,15,0,3.3,0.1,0,15,15,0,0,0,0.029,0,0,0,0,0,0,0.027,0.001,0.022,0.06,0.003,0,0,0.001,0,0,0,0,0,0.022,0.064
Barley,2.2,2.74,27.2,139,0,67.1,0,0,0.28,3.7,11,1.28,21,53,90,199,0.79,0.101,8.3,23,24,15,0,0.23,0.1,0,0,54,0,0.08,0.06,1.99,0.146,16,0,13.4,2.1,0,16,16,0,0,4,1.09,0.038,0.027,0.016,0.036,0.043,0.135,0.552,0.202,0.616,0.515,0.058,0.002,0,0.02,0,0.004,0,0,0.001,0.664,0.572
Bulgur,3.06,0.24,18.5,83,0,77.3,0,0,0.1,4.5,10,0.96,32,40,68,219,0.57,0.075,0.6,0,0,1,0,0.01,0,0,0,54,0,0.057,0.028,0.994,0.083,18,0,6.9,0.5,0,18,18,0,0,0,0.042,0,0,0.002,0,0,0,0.037,0.002,0.03,0.093,0.004,0,0,0.001,0,0,0,0,0,0.031,0.097
Millet,3.5,1,23.6,118,0,71.1,0,0,0.13,1.3,3,0.63,44,100,62,168,0.91,0.16,0.9,0,0,2,0,0.02,0,0,0,70,0,0.106,0.082,1.32,0.108,19,0,11.2,0.3,0,19,19,0,0,0,0.171,0,0,0,0,0.001,0,0.125,0.037,0.175,0.478,0.028,0,0,0.003,0,0.005,0,0,0,0.183,0.506
Quinoa,4.2,5.42,20.2,146,0,69,0,0,0.84,2.7,17,1.42,61,145,164,184,1.04,0.182,2.7,36,37,19,0,0.94,0.1,0,0,50,0,0.102,0.105,0.391,0.171,40,0,22.6,2.1,0,40,40,0,0,7,1.77,0.059,0.041,0.024,0.056,0.066,0.208,0.926,0.322,1.33,1.44,0.139,0.006,0.014,0.03,0,0.036,0.001,0.026,0.001,1.45,1.59
Yeast breads,9.964513274,5.19619469,49.30176991,280.9557522,0,33.34159292,0,0,5.584424779,4.584955752,107.3539823,3.200530973,40.5840708,141.5752212,180.3274336,505.1681416,1.153451327,0.193389381,22.59557522,8.097345133,9.973451327,22.56637168,1.884955752,0.547433628,0.068141593,0.327433628,8.389380531,50.18584071,0.252212389,0.417831858,0.273212389,4.000973451,0.114876106,85.09734513,0.052477876,15.34070796,4.507079646,42.07964602,44.22123894,114.460177,0,0,2.486725664,1.352752212,0.013336283,0.008743363,0.008300885,0.016070796,0.055699115,0.072840708,0.844964602,0.298362832,1.296221239,1.53700885,0.110716814,0.001902655,0.000283186,0.029300885,1.77E-05,0.05139823,0.000707965,0.000185841,0.000362832,1.403955752,1.650247788
bran roll,9.6,6,44.6,263,0,38,0,0,6.25,3.8,95,3.95,44,122,160,458,1.05,0.216,31.8,0,0,0,0,0.07,0,0,0,45,0,0.463,0.31,4.47,0.092,111,0.01,26.5,3.1,86,25,171,0,0,0,1.39,0,0,0.001,0,0,0.025,0.781,0.572,2.82,1.09,0.066,0,0,0.013,0,0,0,0,0,2.84,1.15
hard roll,9.9,4.3,52.7,293,0,31,0,0,1.77,2.3,95,3.28,27,100,108,544,0.94,0.163,39.1,0,0,0,0,0.42,0,0,0,58,0,0.478,0.336,4.24,0.035,95,0,14.6,0.6,80,15,151,0,0,0,0.606,0,0,0,0,0.001,0.002,0.476,0.127,1.1,1.62,0.097,0,0,0.033,0,0,0,0,0,1.13,1.72
Breadsticks,12.2,12.8,44.4,342,0,28.3,0,0,1.11,2.4,87,4.64,22,129,132,615,1.02,0.107,22,23,24,7,0,0.88,0,0,0,10,0,0.492,0.559,7.07,0.103,147,0.13,7.5,21.1,123,24,233,0,0,7,2.96,0.038,0.028,0.016,0.042,0.061,0.221,1.77,0.665,2.62,5.4,0.723,0.01,0,0.067,0,0.053,0.004,0.002,0.002,2.77,6.15
English Muffin,8.87,1.69,44.2,227,0,43.6,0,0,3.53,3.5,163,4,24,92,109,425,1.05,0.135,22.4,0,0,0,0,0.31,0,0,0,42,1.8,0.477,0.25,4.07,0.054,94,0.04,16,1.2,55,40,132,0,0,0,0.733,0,0,0.002,0,0.083,0.034,0.292,0.317,0.383,0.449,0.048,0,0,0,0,0,0,0,0,0.383,0.498
Bagel,10.6,1.32,52.4,264,0,33.8,0,0,8.43,1.6,70,3.57,29,99,107,422,0.83,0.128,21.5,0,0,0,0,0.32,0,0,0,0,0,0.568,0.344,4.52,0.07,106,0,14.6,0.2,82,24,163,0,0,0,0.36,0,0,0,0,0,0.004,0.227,0.115,0.186,0.503,0.024,0,0,0.007,0,0.005,0,0,0,0.39,0.526
Tortilla,6.95,5.42,47,262,0,38.9,0,0,2.3,4.9,114,2.43,47,260,156,372,0.92,0.129,14.2,0,0,0,0,0.14,0,0,0,6,0,0.298,0.174,2.96,0.139,50,0,10.6,3.6,40,10,77,0,0,0,1.69,0,0,0,0,0.002,0.017,1.04,0.598,1.2,1.72,0.13,0,0,0.005,0,0.012,0,0,0,1.22,1.85
